Input: 6.6; Output: 7
Input: 25336503556830459746310008815144244091909806815493076728.482503467424540094430231980068119374003338863618890670230681001322859030792035319857082759550687454492209592735453939490377063966261581503177686155281071197444970230277734511121072120008069034496105...; Output: 25336503556830459746310008815144244091909806815493076728
Input: 718130341896330596635811874410345440628950330.50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000...; Output: 718130341896330596635811874410345440628950331
Input: 5.8; Output: 6
Input: 5.2; Output: 5
Input: 2.7; Output: 3
Input: 7536521504744364134984603189602839063535643888645969434165019366202558753840519.4999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999; Output: GOTO ▁ Vasilisa .
Input: 9.3; Output: GOTO ▁ Vasilisa .
Input: 2.9; Output: 3
Input: 8.7; Output: 9
Input: 8.1; Output: 8
Input: 4.3; Output: 4
Input: 9.8; Output: GOTO ▁ Vasilisa .
Input: 6.4; Output: 6
Input: 884100039033240108046422422267986518460459918443196379352683473088211575773369913425871222935837093735570385031434383007166213116221493822257071069571956006614346718804003578259662443308761412330501673982794461191766703407618515159663401077259525778638.27...; Output: 884100039033240108046422422267986518460459918443196379352683473088211575773369913425871222935837093735570385031434383007166213116221493822257071069571956006614346718804003578259662443308761412330501673982794461191766703407618515159663401077259525778638
Input: 0.5; Output: 1
Input: 9.000; Output: GOTO ▁ Vasilisa .
Input: 0.1; Output: 0
Input: 12345678901234567890.9; Output: 12345678901234567891
Input: 1.50; Output: 2
Input: 5.7; Output: 6
Input: 1.7; Output: 2
Input: 4.6; Output: 5
Input: 0.4; Output: 0
Input: 0.7; Output: 1
Input: 2.3; Output: 2
Input: 7.6; Output: 8
Input: 3.2; Output: 3
Input: 2.1; Output: 2
Input: 3.4; Output: 3
Input: 123456789123456788.999; Output: 123456789123456789
Input: 6455316599941564118819462910229836518045269883418707627631109102763171162210328972632207924787077803651665305136421067708252386706679187898834077529806725958.3222186287881430321910148334421862372581855517334122746814447893964457169534030491154376919607128...; Output: 6455316599941564118819462910229836518045269883418707627631109102763171162210328972632207924787077803651665305136421067708252386706679187898834077529806725958
Input: 927925904158088313481229162503626281882161630091489367140850985555900173018122871746924067186432044676083646964286435457446768031295712712803570690846298544912543439221596866052681116386179629036945370280722.50000000000000000000000000000000000000000000000...; Output: 927925904158088313481229162503626281882161630091489367140850985555900173018122871746924067186432044676083646964286435457446768031295712712803570690846298544912543439221596866052681116386179629036945370280723
Input: 4.7; Output: 5
Input: 4.2; Output: 4
Input: 1.2; Output: 1
Input: 0.8; Output: 1
Input: 1.6; Output: 2
Input: 259085737066615534998640212505663524594409165063310128108448186246980628179842202905722595400477937071746695941939306735605849342959111887834258250883469840846714848774368.50000000000000000000000000000000000000000000000000000000000000000000000000000000000...; Output: 259085737066615534998640212505663524594409165063310128108448186246980628179842202905722595400477937071746695941939306735605849342959111887834258250883469840846714848774369
Input: 8.0; Output: 8
Input: 4.1; Output: 4
Input: 2.4; Output: 2
Input: 68289614863244584294178637364598054554769889.500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000...; Output: GOTO ▁ Vasilisa .
Input: 3.6; Output: 4
Input: 1.8; Output: 2
Input: 41203422675619090661099806687619.49999999999999999999999999999999999999999999999999999999999999999999999999999999999999999; Output: GOTO ▁ Vasilisa .
Input: 5.6; Output: 6
Input: 3.9; Output: 4
Input: 9.7; Output: GOTO ▁ Vasilisa .
Input: 9.6; Output: GOTO ▁ Vasilisa .
Input: 115972822238089240545038187234208591646448146932477088707360390791650039414.57294658753418155987289138008083408427674094053808584037224202637530476716938020595720034227233975367556059158793305337112425376201936672242867536906399840559567697035370956773192...; Output: 115972822238089240545038187234208591646448146932477088707360390791650039415
Input: 8.9; Output: 9
Input: 6.7; Output: 7
Input: 646188694587964249318078225173.5000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000; Output: 646188694587964249318078225174
Input: 4.5; Output: 5
Input: 1.4; Output: 1
Input: 9.9; Output: GOTO ▁ Vasilisa .
Input: 123456789123456789.999; Output: GOTO ▁ Vasilisa .
Input: 0.3; Output: 0
Input: 9.4; Output: GOTO ▁ Vasilisa .
Input: 8.8; Output: 9
Input: 591633324253444478959033562961850170086495104035549006305638646294274491185785675094038708.43694257039848527744436252978828120359851460125369430848096681946732003931870186522579909215502605884294240319851975447362463200797648803476149521762502721625601567...; Output: 591633324253444478959033562961850170086495104035549006305638646294274491185785675094038708
Input: 7.0; Output: 7
Input: 8.2; Output: 8
Input: 7.9; Output: 8
Input: 4.0; Output: 4
Input: 8.6; Output: 9
Input: 7.3; Output: 7
Input: 9.2; Output: GOTO ▁ Vasilisa .
Input: 4.9; Output: 5
Input: 1.0; Output: 1
Input: 1.5; Output: 2
