Input: dqvkdzjtgcufnmmelwmorejziswnycjpyqqeyipdmslnpudrmideioxfvziulsmkemrlqlxcavidifytzgcwonafgaftfhvmodiykswipzbpkkhyvcslzgmlajffpxkxaworzviczeofylgcqujzymwkremqnggdoqlxikhacksjjtqncaogcbtfjnbgdkvirakzhtuwoblyrboiksnhnduhchohhpmhrlnwgsgxaqwwxvpddyxmfhjohvocpbf...; Output: Second
Input: opfokvwzpllctflkphutcrkferbjyyrasqqkrcvoymyrxwaudgsugcqveccymdplxmtlzfoptmrapfeizpnnhbzlkuyznwacnswibxhqunazbhdvrlidghisuqunstbuevjzimvlfvopgqxrvahhngnaumgywscfrfwfpnfxwhfrelbunmedvkssykwjyartxjiplerntzkpiiaalijiwhyuhxlvhxpkgfypvrpqqsacuwocdampnnhvibsboly...; Output: Second
Input: knaxhkbokmtfvnjvlsbrfoefpjpkqwlumeqqbeohodnwevhllkylposdpjuoizyunuxivzrjofiyxxiliuwhkjqpkqxukxroivfhikxjdtwcqngqswptdwrywxszxrqojjphzwzxqftnfhkapeejdgckfyrxtpuipfljsjwgpjfatmxpylpnerllshuvkbomlpghjrxcgxvktgeyuhrcwgvdmppqnkdmjtxukzlzqhfbgrishuhkyggkpstvqab...; Output: Second
Input: fezzkpyctjvvqtncmmjsitrxaliyhirspnjjngvzdoudrkkvvdiwcwtcxobpobzukegtcrwsgxxzlcphdxkbxdximqbycaicfdeqlvzboptfimkzvjzdsvahorqqhcirpkhtwjkplitpacpkpbhnxtoxuoqsxcxnhtrmzvexmpvlethbkvmlzftimjnidrzvcunbpysvukzgwghjmwrvstsunaocnoqohcsggtrwxiworkliqejajewbrtdwgny...; Output: Second
Input: aabbcccc; Output: First
Input: bvhxnsgarigbyolsnctgsxehwrunfmcpgypyfdgvpldamnazsyyyceurvtvbfskxaxlmcattvoxsjvqocupxejbndizvxpfxcdhiwbprgzxtcvimohihqzbsausblcgzpqlfblyhfwpfxmylufsrwwvvtagjxhtlssrshrhsiqofrnzfvaurcpvognsoqrwcmzpfdxnjhdotxncjgzahmnlcejyxkldcsgtsyvgulsbhfvdhiswqwlhchzcycqp...; Output: Second
Input: jyezpefgfimdzyamcqsqiytesemojxlsklsxhtcvupydmbmlefpkypioyobturyzkepedpwmnuobdxlabvalidaleytfgsjhcxlgirxxxdytncerwmthfzllioapuwdvnbcjkdgqzswwgebqqakmdkovdbjdwxcprrmobvqjacdqofsezwzlnmfaksvxajbhicdysjhfgjxhgbccgltnfpkuoqeuvypwhlavxbuoufdfwmvwscignvvqkrdhxof...; Output: Second
Input: upgqmhfmfnodsyosgqswugfvpdxhtkxvhlsxrjiqlojchoddxkpsamwmuvopdbncymcgrkurwlxerexgswricuqxhvqvgekeofkgqabypamozmyjyfvpifsaotnyzqydcenphcsmplekinwkmwzpjnlapfdbhxjdcnarlgkfgxzfbpgsuxqfyhnxjhtojrlnprnxprfbkkcyriqztjeeepkzgzcaiutvbqqofyhddfebozhvtvrigtidxqmydjx...; Output: Second
Input: kidvioofvhxavlojmukpgljpipcpdzdwbikegidsbjfhkvtdvjdqusaskcxmbvnluyklrukxbeihqzzcdxftnhutxglgmwjcjsukvhbcvurrlwtwqzkddcbwatyleibbjkiswqjccbgatbrlumajpgwoovbeuwjfitdbtrlptldpcmlvwqfgkwsbftqhscvqmxyhslwkvksajqwkywfeiyfgscfaeawztlvnpyuvdzknqryrziiqlaflidqyoer...; Output: Second
Input: aaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbccccccccccccccccccccddddddddddeeeeeeeeeeffffgggghhhhiiiijjjjqqqqwwwweeeerrrrttttyyyyuuuuiiiiooooppppaaaassssddddffffgggghhhhjjjjkkkkllllzzzzxxxxccccvvvvbbbbnnnnmmmm; Output: First
Input: oeiqxvuabmckpbueiwogjffnvnoygmwppuwsoleuaosrfpmxbnmurssfkwaqnxsmgvkcqixziuxjzuztaqpnclyzaoykrvziqyszyoceplktmmkkxpugzhzwpctdamxpdcwruwvvnpnpepltuyuglaftpxullcvbxxerwxxrwpwprvsupfhmntnxqgbnveefogaprnawyamjufipalhyahfqojaeliojusqghrurnpuqmruqbezgbisodvgtpsq...; Output: Second
Input: iixejpuhnnzpkopmlczpvxylhqmaobofichmqiupamqvdcqcpqbwsemrwjtlbbgrjmqrluexqgjvwwauxixauftnwnvmpxdoppfceeasvexmhbvcdccftmzoisixugcdohjlfzsaglzhggrjlqkibhmvbdnqljfozllqsmyeenwfegsuuzqyzzivtjijukfcxtltbjohvtocyynmnxoossbcyiyvgbstlobmheiamprbobqovgfcaydvcpjefke...; Output: Second
